jday,jday_day,jday_time,Fd_7098,Fd_7085,dV_ 7098,dV_7085
208.9652778,208,0.965277778,0.003712468,NaN,-0.248,NaN
208.9722222,208,0.972222222,0.00284637,NaN,-0.249,NaN
208.9791667,208,0.979166667,0.002033804,NaN,-0.25,NaN
208.9861111,208,0.986111111,0.001284588,NaN,-0.251,NaN
208.9930556,208,0.993055556,0.002033529,NaN,-0.25,NaN
209,209,0,0.001284208,NaN,-0.251,NaN
209.0069444,209,0.006944444,0.002032976,NaN,-0.25,NaN
209.0138889,209,0.013888889,0.000616175,NaN,-0.252,NaN
209.0208333,209,0.020833333,0.001283182,NaN,-0.251,NaN
209.0277778,209,0.027777778,0.000615431,NaN,-0.252,NaN
209.0347222,209,0.034722222,0.001282216,NaN,-0.251,NaN
209.0416667,209,0.041666667,7.93E-05,NaN,-0.253,NaN
209.0486111,209,0.048611111,0.001281042,NaN,-0.251,NaN
209.0555556,209,0.055555556,0.004620517,NaN,-0.247,NaN
209.0625,209,0.0625,0.002840481,NaN,-0.249,NaN
209.0694444,209,0.069444444,0.001278925,NaN,-0.251,NaN
209.0763889,209,0.076388889,7.72E-05,NaN,-0.253,NaN
209.0833333,209,0.083333333,7.68E-05,NaN,-0.253,NaN
209.0902778,209,0.090277778,0.000609967,NaN,-0.252,NaN
209.0972222,209,0.097222222,0.001275517,NaN,-0.251,NaN
209.1041667,209,0.104166667,0.00060836,NaN,-0.252,NaN
209.1111111,209,0.111111111,0.000607513,NaN,-0.252,NaN
209.1180556,209,0.118055556,0,NaN,-0.254,NaN
209.125,209,0.125,0.000605738,NaN,-0.252,NaN
209.1319444,209,0.131944444,7.28E-05,NaN,-0.253,NaN
209.1388889,209,0.138888889,0.002017064,NaN,-0.25,NaN
209.1458333,209,0.145833333,0.001268274,NaN,-0.251,NaN
209.1527778,209,0.152777778,0.002014594,NaN,-0.25,NaN
209.1597222,209,0.159722222,0.002013323,NaN,-0.25,NaN
209.1666667,209,0.166666667,0.002012031,NaN,-0.25,NaN
209.1736111,209,0.173611111,0.001263599,NaN,-0.251,NaN
209.1805556,209,0.180555556,6.81E-05,NaN,-0.253,NaN
209.1875,209,0.1875,6.74E-05,NaN,-0.253,NaN
209.1944444,209,0.194444444,0.001259917,NaN,-0.251,NaN
209.2013889,209,0.201388889,0.002005315,NaN,-0.25,NaN
209.2083333,209,0.208333333,6.53E-05,NaN,-0.253,NaN
209.2152778,209,0.215277778,6.45E-05,NaN,-0.253,NaN
209.2222222,209,0.222222222,0.000591285,NaN,-0.252,NaN
209.2291667,209,0.229166667,0.001999733,NaN,-0.25,NaN
209.2361111,209,0.236111111,6.24E-05,NaN,-0.253,NaN
209.2430556,209,0.243055556,6.16E-05,NaN,-0.253,NaN
209.25,209,0.25,0.000586826,NaN,-0.252,NaN
209.2569444,209,0.256944444,0,NaN,-0.254,NaN
209.2638889,209,0.263888889,0.000584588,NaN,-0.252,NaN
209.2708333,209,0.270833333,0.002800789,NaN,-0.249,NaN
209.2777778,209,0.277777778,0.003662802,NaN,-0.248,NaN
209.2847222,209,0.284722222,0.001988399,NaN,-0.25,NaN
209.2916667,209,0.291666667,0.00198699,NaN,-0.25,NaN
209.2986111,209,0.298611111,0.000579026,NaN,-0.252,NaN
209.3055556,209,0.305555556,0.000577926,NaN,-0.252,NaN
209.3125,209,0.3125,0.001982797,NaN,-0.25,NaN
209.3194444,209,0.319444444,0.001981413,NaN,-0.25,NaN
209.3263889,209,0.326388889,0.005516718,NaN,-0.246,NaN
209.3333333,209,0.333333333,0.003650203,NaN,-0.248,NaN
209.3402778,209,0.340277778,0.007540123,NaN,-0.244,NaN
209.3472222,209,0.347222222,0.009709867,NaN,-0.242,NaN
209.3541667,209,0.354166667,0.012013727,NaN,-0.24,NaN
209.3611111,209,0.361111111,0.010842671,NaN,-0.241,NaN
209.3680556,209,0.368055556,0.015705693,NaN,-0.237,NaN
209.375,209,0.375,0.019672639,NaN,-0.234,NaN
209.3819444,209,0.381944444,0.025375729,NaN,-0.23,NaN
209.3888889,209,0.388888889,0.038191559,NaN,-0.222,NaN
209.3958333,209,0.395833333,0.041691074,NaN,-0.22,NaN
209.4027778,209,0.402777778,0.045312414,NaN,-0.218,NaN
209.4097222,209,0.409722222,0.061067542,NaN,-0.21,NaN
209.4166667,209,0.416666667,0.07199319,NaN,-0.205,NaN
209.4236111,209,0.423611111,0.069735052,NaN,-0.206,NaN
209.4305556,209,0.430555556,0.071987356,NaN,-0.205,NaN
209.4375,209,0.4375,0.071984488,NaN,-0.205,NaN
209.4444444,209,0.444444444,0.076599265,NaN,-0.203,NaN
209.4513889,209,0.451388889,0.078959809,NaN,-0.202,NaN
209.4583333,209,0.458333333,0.078956954,NaN,-0.202,NaN
209.4652778,209,0.465277778,0.078954136,NaN,-0.202,NaN
209.4722222,209,0.472222222,0.086265729,NaN,-0.199,NaN
209.4791667,209,0.479166667,0.081348967,NaN,-0.201,NaN
209.4861111,209,0.486111111,0.088774715,NaN,-0.198,NaN
209.4930556,209,0.493055556,0.081343545,NaN,-0.201,NaN
209.5,209,0.5,0.086254656,NaN,-0.199,NaN
209.5069444,209,0.506944444,0.088766512,NaN,-0.198,NaN
209.5138889,209,0.513888889,0.081335719,NaN,-0.201,NaN
209.5208333,209,0.520833333,0.081333195,NaN,-0.201,NaN
209.5277778,209,0.527777778,0.078930554,NaN,-0.202,NaN
209.5347222,209,0.534722222,0.08376598,NaN,-0.2,NaN
209.5416667,209,0.541666667,0.083763562,NaN,-0.2,NaN
209.5486111,209,0.548611111,0.083761189,NaN,-0.2,NaN
209.5555556,209,0.555555556,0.083758862,NaN,-0.2,NaN
209.5625,209,0.5625,0.081318976,NaN,-0.201,NaN
209.5694444,209,0.569444444,0.093890959,NaN,-0.196,NaN
209.5763889,209,0.576388889,0.086227805,NaN,-0.199,NaN
209.5833333,209,0.583333333,0.091293301,NaN,-0.197,NaN
209.5902778,209,0.590277778,0.091291144,NaN,-0.197,NaN
209.5972222,209,0.597222222,0.088735667,NaN,-0.198,NaN
209.6041667,209,0.604166667,0.093880063,NaN,-0.196,NaN
209.6111111,209,0.611111111,0.091284974,NaN,-0.197,NaN
209.6180556,209,0.618055556,0.074213735,NaN,-0.204,NaN
209.625,209,0.625,0.069667394,NaN,-0.206,NaN
209.6319444,209,0.631944444,0.081299026,NaN,-0.201,NaN
209.6388889,209,0.638888889,0.091277469,NaN,-0.197,NaN
209.6458333,209,0.645833333,0.088722492,NaN,-0.198,NaN
209.6527778,209,0.652777778,0.083731346,NaN,-0.2,NaN
209.6597222,209,0.659722222,0.078892678,NaN,-0.202,NaN
209.6666667,209,0.666666667,0.067438852,NaN,-0.207,NaN
209.6736111,209,0.673611111,0.069656632,NaN,-0.206,NaN
209.6805556,209,0.680555556,0.076525674,NaN,-0.203,NaN
